   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.00280    0.00000    0.00000    0.00000        NaN    2.27617    0.00000    0.00112    0.00076    0.00006
    0.00560    0.00000    0.00000    0.00000        NaN    7.48769   -0.00860    0.00043    0.00042    0.00006
    0.00840    0.00000    0.00000    0.00000        NaN    9.59429    0.00000    0.00042    0.00036    0.00006
    0.01120    0.00000    0.00000    0.00000        NaN   10.06250    0.00000    0.00038    0.00032    0.00006
    0.01400    0.00000    0.00000    0.00000        NaN   11.58808    0.00718    0.00032    0.00028    0.00006
    0.01680   13.40649    1.00000    6.09351    0.54548   12.84583   -0.01169    0.00030    0.00026    0.00006
    0.01960   14.10044    1.00000   17.46807   -0.23883   13.46141    0.00000    0.00028    0.00024    0.00006
    0.02240   15.14880    1.00000   13.41318    0.11457   14.53793    0.00000    0.00056    0.00023    0.00006
    0.02520   16.16854    1.00000   16.10947    0.00365   15.51105   -0.00802    0.00025    0.00021    0.00006
    0.02800   16.77583    1.00000   11.44767    0.31761   16.12050   -0.00743    0.00023    0.00020    0.00006
    0.03080   17.69374    1.00000    7.55078    0.57325   17.00071    0.00000    0.00022    0.00019    0.00054
    0.03360   18.54884    1.00000   23.47659   -0.26566   17.82516   -0.00607    0.00021    0.00019    0.00006
    0.03640   19.13168    1.00000   15.64949    0.18201   18.40853    0.00000    0.00020    0.00027    0.00038
    0.03920   19.92143    1.00000    8.11145    0.59283   19.17280    0.00000    0.00020    0.00017    0.00006
    0.04200   20.67265    2.00000   14.48490    0.29932   19.90252    0.00000    0.59385    0.54967    0.40199
    0.04480   21.22627    2.00000   20.68745    0.02538   20.45704    0.00000    0.88342    0.28121    1.29671
    0.04760   21.93141    2.00000   32.14589   -0.46575   21.14428    0.00000    0.71387    0.12812    0.21913
    0.05040   22.60973    2.00000   19.17203    0.15204   21.80742    0.00000    0.42436    0.24708    0.22540
    0.05320   23.13529    2.00000   23.53473   -0.01727   22.33470    0.00774    0.43173    0.61506    0.45991
    0.05600   23.77883    2.00000   14.22355    0.40184   22.96585   -0.00732    0.89409    0.48395    0.61810
    0.05880   24.30743    2.00000   20.47744    0.15756   23.48050    0.00700    0.17450    0.93863    1.68862
    0.06160   24.90406    2.00000   21.76016    0.12624   24.08318   -0.00665    0.67059    0.33874    0.41445
    0.06440   25.49927    2.00000   35.78366   -0.40332   24.66993    0.00000    0.19247    0.01890    1.21200
    0.06720   26.00147    2.00000   26.71585   -0.02747   25.16241    0.00000    1.91406    0.61328    0.33855
    0.07000   26.55956    3.00000   20.70775    0.22033   25.72690   -0.01166    0.31224    0.56955    1.24162
    0.07280   27.11680    3.00000   40.20573   -0.48269   26.27875   -0.01118    0.16894    0.86337    1.23452
    0.07560   27.59625    3.00000   19.97700    0.27610   26.75183    0.00000    0.87076    0.71362    0.64629
    0.07840   28.12225    3.00000   24.64541    0.12363   27.28469    0.01037    0.99919    0.46732    1.43436
    0.08120   28.64868    3.00000   27.59232    0.03687   27.80825    0.00000    0.23123    0.08312    1.07721
    0.08400   29.09929    3.00000   19.07220    0.34458   28.26418    0.00000    0.38354    0.42559    1.20007
    0.08680   29.60802    3.00000   30.64754   -0.03511   28.77132    0.00932    0.96326    0.71563    0.65460
    0.08960   30.10766    3.00000   31.34486   -0.04109   29.27009   -0.00901    0.70732    0.67047    0.70179
    0.09240   30.54209    3.00000   34.36685   -0.12523   29.71076    0.00000    0.13735    0.77892    1.04099
    0.09520   31.02706    3.00000   15.09288    0.51356   30.19595    0.00000    0.44495    0.76143    0.46413
    0.09800   31.50350    3.00000   32.36308   -0.02729   30.67331    0.00820    0.46172    0.95996    0.20869
    0.10080   31.92425    4.00000   37.33313   -0.16943   31.10114   -0.00798    0.43143    0.27170    0.87799
    0.10360   32.38797    4.00000   29.55347    0.08752   31.56661   -0.00775    0.94694    0.18918    0.59678
    0.10640   32.80646    4.00000   24.88431    0.24148   31.98649   -0.00754    0.65617    1.72163    0.23430
    0.10920   33.25224    4.00000   34.79207   -0.04631   32.44103    0.00000    1.28762    0.30921    1.16077
    0.11200   33.69810    4.00000   26.84629    0.20333   32.89001    0.00714    0.85077    0.36208    0.56588
    0.11480   34.10318    4.00000   38.34879   -0.12449   33.29788   -0.00696    0.83622    1.42667    0.43391
    0.11760   34.53319    4.00000   23.76576    0.31180   33.73721   -0.00678    0.90981    0.51647    1.19996
    0.12040   34.96299    4.00000   38.17386   -0.09184   34.17136   -0.00661    0.94002    0.84109    0.96075
    0.12320   35.35557    4.00000   28.40992    0.19645   34.56792    0.00000    0.43600    0.81293    1.16376
    0.12600   35.77136    4.00000   37.33603   -0.04374   34.99351    0.00000    1.77124    0.56938    0.16236
    0.12880   36.18679    5.00000   31.08921    0.14087   35.41427    0.01231    0.57852    0.67403    0.71070
    0.13160   36.56875    5.00000   41.49025   -0.13458   35.80133    0.00000    0.22820    0.75544    0.98091
    0.13440   36.97092    5.00000   30.90388    0.16410   36.21375    0.00000    0.58845    0.61439    0.82343
    0.13720   37.37374    5.00000   41.00851   -0.09725   36.62274    0.00000    0.76173    0.96163    1.05669
    0.14000   37.74170    5.00000   42.14061   -0.11655   37.00069    0.00000    0.35924    0.82468    0.56274
    0.14280   38.13623    5.00000   52.02657   -0.36423   37.40193    0.01104    1.11217    0.80612    0.89285
    0.14560   38.52657    5.00000   19.82619    0.48539   37.79930   -0.01080    0.85722    0.33465    0.91673
    0.14840   38.88619    5.00000   33.45702    0.13962   38.16930    0.01060    0.99844    0.79855    0.92738
    0.15120   39.26943    5.00000   23.59079    0.39926   38.56004   -0.01038    0.99545    0.68244    0.85976
    0.15400   39.64948    5.00000   36.63225    0.07610   38.94782    0.01018    0.52968    1.10631    0.55183
    0.15680   40.00022    6.00000   41.61178   -0.04029   39.30941    0.00000    1.04938    0.71355    0.76331
    0.15960   40.37347    6.00000   43.15002   -0.06877   39.69078    0.00000    1.18796    1.07286    0.85468
    0.16240   40.72271    6.00000   58.86971   -0.44562   40.04801   -0.00963    0.31288    0.51729    0.86995
    0.16520   41.08663    6.00000   38.80084    0.05563   40.42348   -0.00945    0.93699    1.09546    0.76389
    0.16800   41.45072    6.00000   33.44725    0.19308   40.79627    0.00000    0.57961    0.91503    0.90554
    0.17080   41.79204    6.00000   41.04409    0.01790   41.14627   -0.00912    0.73356    1.57032    0.67941
    0.17360   42.14758    6.00000   37.75416    0.10424   41.51364    0.00000    0.74184    0.47736    1.08881
    0.17640   42.50274    6.00000   36.91843    0.13139   41.87807    0.00880    0.73593    1.17275    1.02302
    0.17920   42.83702    6.00000   39.55696    0.07657   42.22153    0.00000    0.89988    1.13893    0.81415
    0.18200   43.18404    6.00000   50.41818   -0.16752   42.58070   -0.00851    0.32279    0.76958    1.01940
    0.18480   43.53110    6.00000   24.40327    0.43941   42.93748    0.00000    0.72620    0.94486    0.87113
    0.18760   43.85641    7.00000   36.02114    0.17866   43.27485    0.00824    0.90127    0.91929    1.25121
    0.19040   44.19856    7.00000   38.45234    0.13001   43.62699    0.00000    0.48662    0.83392    0.89055
    0.19320   44.53829    7.00000   42.48307    0.04614   43.97691   -0.00798    0.98647    0.69168    0.90370
    0.19600   44.85712    7.00000   33.28857    0.25790   44.30808    0.00000    0.70995    0.86391    1.01467
    0.19880   45.19247    7.00000   46.21165   -0.02255   44.65382    0.00774    0.96601    0.77420    1.11258
    0.20160   45.52479    7.00000   60.25367   -0.32354   44.99676    0.00000    0.42137    0.82945    0.82357
    0.20440   45.83791    7.00000   46.54503   -0.01543   45.32238    0.00000    0.53427    0.50561    1.18966
    0.20720   46.16619    7.00000   48.35122   -0.04733   45.66144    0.00740    1.11064    0.97647    0.78564
    0.21000   46.47828    7.00000   45.20008    0.02750   45.98434   -0.00730    1.27959    1.07449    1.39400
    0.21280   46.80000    7.00000   48.61551   -0.03879   46.31900   -0.00720    0.72260    1.43471    1.11511
    0.21560   47.12194    7.00000   39.05339    0.17123   46.65205   -0.00709    1.57605    0.66340    0.92410
    0.21840   47.42848    8.00000   32.36120    0.31768   46.96969    0.00000    0.72323    0.60743    0.76356
    0.22120   47.74427    8.00000   44.19875    0.07426   47.29863   -0.00690    1.07841    0.85528    0.89571
    0.22400   48.06010    8.00000   39.57624    0.17653   47.62586   -0.00681    0.86242    1.15987    0.57815
    0.22680   48.36115    8.00000   50.19352   -0.03789   47.93836    0.00000    0.91573    0.90197    0.85475
    0.22960   48.67167    8.00000   42.76007    0.12146   48.26213   -0.00663    0.73556    0.78328    0.88087
    0.23240   48.98173    8.00000   54.19855   -0.10651   48.58390   -0.00654    1.18599    0.78288    0.95053
    0.23520   49.27808    8.00000   40.00305    0.18822   48.89195   -0.00646    0.90878    1.63375    0.95763
    0.23800   49.58293    8.00000   57.22519   -0.15413   49.21029    0.00000    0.87961    0.39335    0.96604
    0.24080   49.88802    8.00000   43.42475    0.12956   49.52729    0.00000    1.41538    1.14520    0.79136
    0.24360   50.17804    8.00000   68.25336   -0.36022   49.83077    0.00622    1.41173    0.91231    0.78526
    0.24640   50.47933    8.00000   50.05993    0.00831   50.14417    0.00614    0.59565    1.10879    1.02737
    0.24920   50.77916    8.00000   52.12784   -0.02656   50.45615    0.00000    1.08125    0.89526    1.19561
    0.25200   51.06504    9.00000   53.64191   -0.05046   50.75564    0.00599    1.15937    1.00851    0.81742
    0.25480   51.36148    9.00000   49.62072    0.03389   51.06438    0.00000    1.20448    0.96974    0.72469
    0.25760   51.65620    9.00000   66.52978   -0.28793   51.37147    0.01170    0.68738    0.77290    0.68316
    0.26040   51.93816    9.00000   59.18570   -0.13954   51.66716   -0.01157    0.63392    0.88219    0.82197
    0.26320   52.22983    9.00000   54.29568   -0.03955   51.97134    0.00000    1.20588    0.55152    0.79923
    0.26600   52.51003    9.00000   47.56176    0.09423   52.26404    0.00000    0.63570    0.74641    0.98375
    0.26880   52.79765    9.00000   47.13010    0.10734   52.56558    0.00000    0.83905    0.58612    0.86177
    0.27160   53.08499    9.00000   57.51721   -0.08349   52.86559    0.00000    0.94028    0.89958    0.77377
    0.27440   53.36140    9.00000   47.82099    0.10383   53.15467    0.00000    0.98306    0.98640    1.01074
    0.27720   53.64474    9.00000   53.76546   -0.00225   53.45202    0.00000    0.57408    0.75533    0.86552
    0.28000   53.92764    9.00000   60.29556   -0.11808   53.74778   -0.01069    1.62556    0.69131    1.40679
    0.28280   54.20028   10.00000   44.26915    0.18323   54.03326    0.00000    0.72033    1.32028    0.97411
    0.28560   54.47973   10.00000   61.33909   -0.12591   54.32678    0.00000    1.08159    0.96440    1.54298
    0.28840   54.75847   10.00000   45.34253    0.17195   54.61852   -0.01035    1.08999    0.76972    0.82716
    0.29120   55.02644   10.00000   50.76088    0.07752   54.90056    0.01024    1.27616    0.93890    1.06673
    0.29400   55.30285   10.00000   60.97213   -0.10251   55.19003    0.00000    1.04824    1.17991    0.97390
    0.29680   55.57800   10.00000   48.53073    0.12680   55.47832    0.00000    0.85214    0.67873    0.57009
    0.29960   55.84233   10.00000   58.65073   -0.05029   55.75682    0.00993    0.67807    1.08978    0.83064
    0.30240   56.11513   10.00000   52.09842    0.07158   56.04282   -0.00983    0.51510    0.92436    0.50128
    0.30520   56.38654   10.00000   59.06928   -0.04758   56.32745    0.00973    0.93523    0.92831    0.84874
    0.30800   56.64740   10.00000   68.29599   -0.20563   56.60257    0.00964    1.03824    0.71813    0.97708
    0.31080   56.91642   10.00000   68.09766   -0.19645   56.88489    0.00954    0.97796    0.70287    1.33548
    0.31360   57.17653   10.00000   50.23761    0.12136   57.15831    0.00000    0.89335    0.62447    0.48167
    0.31640   57.44214   11.00000   68.68153   -0.19566   57.43826   -0.00936    0.78751    1.04490    1.01611
    0.31920   57.70743   11.00000   60.37429   -0.04621   57.71694   -0.00927    0.86366    1.16603    0.91312
    0.32200   57.96441   11.00000   60.82194   -0.04930   57.98734   -0.00918    0.76989    0.50088    1.00580
    0.32480   58.22680   11.00000   44.62363    0.23362   58.26411    0.00909    0.83256    0.42893    0.88192
    0.32760   58.48864   11.00000   50.82586    0.13101   58.53943    0.00000    0.80436    0.90466    0.89092
    0.33040   58.74249   11.00000   52.06151    0.11373   58.80680    0.00000    1.10349    0.87469    0.89738
    0.33320   59.00134   11.00000   69.92630   -0.18516   59.08008    0.00000    0.91487    1.11534    0.87003
    0.33600   59.26025   11.00000   61.87415   -0.04411   59.35252    0.00000    1.16559    0.99704    0.83440
    0.33880   59.51109   11.00000   58.92698    0.00982   59.61700   -0.00869    0.85882    0.86316    1.26938
    0.34160   59.76690   11.00000   56.49839    0.05469   59.88726    0.00000    0.72774    0.74795    0.85857
    0.34440   60.02263   11.00000   67.94326   -0.13196   60.15662    0.00853    1.03777    0.88794    0.96761
    0.34720   60.26995   11.00000   60.44959   -0.00298   60.41841    0.00000    1.09271    0.74542    0.96331
    0.35000   60.52364   12.00000   49.45371    0.18290   60.68577    0.00838    1.21013    0.81143    0.92715
    0.35280   60.77635   12.00000   55.56413    0.08576   60.95217    0.00000    1.22344    1.51766    1.00773
    0.35560   61.02073   12.00000   59.85719    0.01907   61.21107   -0.00824    1.28581    1.03064    0.88456
    0.35840   61.27137   12.00000   57.75584    0.05738   61.47546    0.00000    0.96979    0.80051    0.79059
    0.36120   61.51499   12.00000   64.81069   -0.05358   61.73283    0.00000    0.78457    0.95879    0.90333
